Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 31, 43, 145, 2.14188, 2, 7.45542, 0.309366, 1.32435, -0.00265851, -0.0267337, 0.0146551
2023, 06, 06, 12, 31, 43, 162, 2.16185, 2, 7.45542, 0.309366, 1.32468, -0.0029228, -0.0266922, 0.0147885
2023, 06, 06, 12, 31, 43, 183, 2.18231, 2, 7.46433, 0.312186, 1.32433, -0.00296752, -0.0266497, 0.0150567
2023, 06, 06, 12, 31, 43, 204, 2.20189, 2, 7.46433, 0.312186, 1.3264, -0.00277193, -0.027111, 0.0145675
2023, 06, 06, 12, 31, 43, 223, 2.22276, 2, 7.47187, 0.315198, 1.32679, -0.0025708, -0.0269385, 0.0149228
2023, 06, 06, 12, 31, 43, 246, 2.24199, 2, 7.47187, 0.315198, 1.32788, -0.00288359, -0.0273333, 0.0149743
2023, 06, 06, 12, 31, 43, 264, 2.26185, 2, 7.47796, 0.315632, 1.32828, -0.00261773, -0.0275683, 0.0146986
2023, 06, 06, 12, 31, 43, 287, 2.2819, 2, 7.47796, 0.315632, 1.32969, -0.00221577, -0.0274556, 0.0150441
2023, 06, 06, 12, 31, 43, 303, 2.30185, 2, 7.47796, 0.315632, 1.33135, -0.00275898, -0.0282657, 0.0148222
2023, 06, 06, 12, 31, 43, 323, 2.32186, 2, 7.48342, 0.318089, 1.33171, -0.00283421, -0.0280629, 0.014863
2023, 06, 06, 12, 31, 43, 344, 2.34185, 2, 7.48342, 0.318089, 1.33205, -0.00293834, -0.0280265, 0.0151284
2023, 06, 06, 12, 31, 43, 366, 2.36196, 2, 7.48747, 0.312924, 1.33237, -0.00267051, -0.0285603, 0.0148768
2023, 06, 06, 12, 31, 43, 382, 2.38185, 2, 7.48747, 0.312924, 1.33152, -0.00189797, -0.0281848, 0.0151771
2023, 06, 06, 12, 31, 43, 403, 2.40189, 2, 7.49486, 0.313533, 1.33303, -0.00241435, -0.0284304, 0.0149825
2023, 06, 06, 12, 31, 43, 425, 2.42193, 2, 7.49592, 0.312653, 1.33332, -0.00252175, -0.0285955, 0.014961
2023, 06, 06, 12, 31, 43, 444, 2.44192, 2, 7.49663, 0.312967, 1.33393, -0.00194882, -0.028355, 0.0152748
2023, 06, 06, 12, 31, 43, 465, 2.46194, 2, 7.49663, 0.312967, 1.33419, -0.00159238, -0.0287267, 0.0148671
2023, 06, 06, 12, 31, 43, 488, 2.4819, 2, 7.50296, 0.314471, 1.33574, -0.00172666, -0.0285913, 0.0149342
2023, 06, 06, 12, 31, 43, 502, 2.50184, 2, 7.50296, 0.314471, 1.33727, -0.00188635, -0.0285039, 0.0152638
2023, 06, 06, 12, 31, 43, 524, 2.52196, 2, 7.51276, 0.319512, 1.3375, -0.00128799, -0.0289567, 0.0148323
2023, 06, 06, 12, 31, 43, 543, 2.54186, 2, 7.51276, 0.319512, 1.3349, -0.00148569, -0.0285124, 0.0150952
2023, 06, 06, 12, 31, 43, 565, 2.56237, 2, 7.51539, 0.315755, 1.33513, -0.00216621, -0.0288445, 0.0150414
2023, 06, 06, 12, 31, 43, 585, 2.58192, 2, 7.51539, 0.315755, 1.33329, -0.00161096, -0.028977, 0.014707
2023, 06, 06, 12, 31, 43, 607, 2.60189, 2, 7.52607, 0.318192, 1.3345, -0.00119347, -0.0289625, 0.0151614
2023, 06, 06, 12, 31, 43, 622, 2.62195, 2, 7.52607, 0.318192, 1.33474, -0.00140364, -0.0298028, 0.0149856
2023, 06, 06, 12, 31, 43, 645, 2.64192, 2, 7.52607, 0.318192, 1.33359, -0.00127599, -0.0293669, 0.0147978
2023, 06, 06, 12, 31, 43, 662, 2.66186, 2, 7.53662, 0.323563, 1.33387, -0.00122985, -0.0296071, 0.0151724
2023, 06, 06, 12, 31, 43, 682, 2.68185, 2, 7.53662, 0.323563, 1.33673, -0.000896628, -0.0302726, 0.0148758
2023, 06, 06, 12, 31, 43, 706, 2.70207, 2, 7.53951, 0.322584, 1.33821, -0.000677997, -0.0297323, 0.0147923
2023, 06, 06, 12, 31, 43, 728, 2.72187, 2, 7.53951, 0.322584, 1.33854, -0.000922977, -0.0300089, 0.0149484
2023, 06, 06, 12, 31, 43, 742, 2.74185, 2, 7.55368, 0.325123, 1.33801, -0.000733052, -0.0301766, 0.0147926
2023, 06, 06, 12, 31, 43, 763, 2.76189, 2, 7.55368, 0.325123, 1.33835, -0.00030442, -0.0298545, 0.0149139
2023, 06, 06, 12, 31, 43, 787, 2.78243, 2, 7.56571, 0.33052, 1.33617, -0.000293917, -0.0304519, 0.014877
2023, 06, 06, 12, 31, 43, 806, 2.80189, 2, 7.57188, 0.332559, 1.33751, -0.000575008, -0.0304572, 0.0147336
2023, 06, 06, 12, 31, 43, 822, 2.82202, 2, 7.57798, 0.335253, 1.33783, -0.000696881, -0.0303119, 0.0150287
2023, 06, 06, 12, 31, 43, 842, 2.84184, 2, 7.57798, 0.335253, 1.33685, -0.000155283, -0.0307287, 0.0148089
2023, 06, 06, 12, 31, 43, 865, 2.86189, 2, 7.59032, 0.339883, 1.33717, -0.000480968, -0.0305063, 0.0149171
2023, 06, 06, 12, 31, 43, 884, 2.88187, 2, 7.59032, 0.339883, 1.33619, -0.000612074, -0.030604, 0.0151492
2023, 06, 06, 12, 31, 43, 906, 2.902, 2, 7.60432, 0.344879, 1.33751, 0.000222762, -0.0307664, 0.0148323
2023, 06, 06, 12, 31, 43, 923, 2.92223, 2, 7.60432, 0.344879, 1.33781, 0.000303879, -0.0308409, 0.0150467
2023, 06, 06, 12, 31, 43, 945, 2.94185, 2, 7.60785, 0.344193, 1.3384, 0.000156207, -0.0313061, 0.0149969
2023, 06, 06, 12, 31, 43, 962, 2.96191, 2, 7.60785, 0.344193, 1.33871, 0.000299834, -0.0310674, 0.0147857
2023, 06, 06, 12, 31, 43, 982, 2.98184, 2, 7.60785, 0.344193, 1.33863, 0.000525732, -0.0309832, 0.0149843
2023, 06, 06, 12, 31, 44, 004, 3.00185, 2, 7.6159, 0.345935, 1.34018, 0.000841284, -0.0315921, 0.0148148
2023, 06, 06, 12, 31, 44, 022, 3.02186, 2, 7.6159, 0.345935, 1.34048, 0.000723798, -0.0314131, 0.0147385
2023, 06, 06, 12, 31, 44, 044, 3.04194, 2, 7.6243, 0.349482, 1.33966, 0.000766914, -0.0314637, 0.0150224
2023, 06, 06, 12, 31, 44, 067, 3.06189, 2, 7.6243, 0.349482, 1.33996, 0.000884598, -0.0316603, 0.014792
2023, 06, 06, 12, 31, 44, 082, 3.08185, 2, 7.64252, 0.354747, 1.33863, 0.00101599, -0.0315931, 0.0148704
2023, 06, 06, 12, 31, 44, 106, 3.10192, 2, 7.64252, 0.354747, 1.34031, 0.000963374, -0.0316735, 0.0147244
2023, 06, 06, 12, 31, 44, 123, 3.12186, 2, 7.65074, 0.356561, 1.34064, 0.000428455, -0.0316608, 0.0147724
2023, 06, 06, 12, 31, 44, 147, 3.14198, 2, 7.6576, 0.3592, 1.33931, 0.00084082, -0.0315874, 0.015089
2023, 06, 06, 12, 31, 44, 164, 3.16229, 2, 7.66371, 0.361529, 1.33965, 0.00159867, -0.0316419, 0.0146557
2023, 06, 06, 12, 31, 44, 184, 3.18242, 2, 7.66371, 0.361529, 1.33998, 0.000880771, -0.0318567, 0.0148109
2023, 06, 06, 12, 31, 44, 204, 3.20189, 2, 7.66665, 0.360245, 1.34155, 0.000894446, -0.031853, 0.0150911
2023, 06, 06, 12, 31, 44, 222, 3.22186, 2, 7.66665, 0.360245, 1.34182, 0.00124183, -0.0318523, 0.0146065
2023, 06, 06, 12, 31, 44, 246, 3.24189, 2, 7.6877, 0.366103, 1.34079, 0.00140652, -0.0321763, 0.0147793
2023, 06, 06, 12, 31, 44, 264, 3.26184, 2, 7.6877, 0.366103, 1.34104, 0.0010114, -0.0325452, 0.0148045
2023, 06, 06, 12, 31, 44, 282, 3.28185, 2, 7.69326, 0.365469, 1.34055, 0.000521247, -0.0321992, 0.0144613
2023, 06, 06, 12, 31, 44, 304, 3.30184, 2, 7.69981, 0.368153, 1.34218, 0.00107736, -0.0321241, 0.0150437
2023, 06, 06, 12, 31, 44, 327, 3.32195, 2, 7.70659, 0.370678, 1.34241, 0.00103945, -0.0326825, 0.0149722
2023, 06, 06, 12, 31, 44, 343, 3.342, 2, 7.70659, 0.370678, 1.3418, 0.00054221, -0.0324373, 0.0147289
2023, 06, 06, 12, 31, 44, 367, 3.36186, 2, 7.71696, 0.372474, 1.34202, 0.000643535, -0.0324976, 0.0150082
2023, 06, 06, 12, 31, 44, 382, 3.38197, 2, 7.71696, 0.372474, 1.34193, 0.000404485, -0.0330605, 0.0148115
2023, 06, 06, 12, 31, 44, 409, 3.4019, 2, 7.72882, 0.377499, 1.34314, 0.000543725, -0.0328684, 0.0148743
2023, 06, 06, 12, 31, 44, 422, 3.42194, 2, 7.72882, 0.377499, 1.34337, 0.000429882, -0.0327552, 0.0147912
2023, 06, 06, 12, 31, 44, 443, 3.44232, 2, 7.74161, 0.378925, 1.34212, 2.81425e-05, -0.0331298, 0.0146503
2023, 06, 06, 12, 31, 44, 464, 3.46189, 2, 7.74161, 0.378925, 1.34239, 0.000566123, -0.0329746, 0.014912
2023, 06, 06, 12, 31, 44, 482, 3.48186, 2, 7.75564, 0.385097, 1.34123, 0.000666528, -0.033183, 0.0146445
2023, 06, 06, 12, 31, 44, 507, 3.50187, 2, 7.75564, 0.385097, 1.34276, 0.000100477, -0.033442, 0.0147604
2023, 06, 06, 12, 31, 44, 526, 3.52192, 2, 7.76671, 0.388502, 1.34301, 0.000197038, -0.0332388, 0.0149389
2023, 06, 06, 12, 31, 44, 543, 3.54184, 2, 7.76671, 0.388502, 1.34181, 0.000409503, -0.0333548, 0.0145044
2023, 06, 06, 12, 31, 44, 564, 3.56232, 2, 7.76671, 0.388502, 1.34205, 0.000508789, -0.0333495, 0.0147551
2023, 06, 06, 12, 31, 44, 585, 3.58189, 2, 7.79076, 0.396344, 1.34037, 1.51212e-05, -0.0335839, 0.0148164
2023, 06, 06, 12, 31, 44, 604, 3.6019, 2, 7.79076, 0.396344, 1.34213, -8.42198e-05, -0.0334753, 0.0145021
2023, 06, 06, 12, 31, 44, 622, 3.62185, 2, 7.80182, 0.397866, 1.3424, 0.000522376, -0.0333332, 0.0147509
2023, 06, 06, 12, 31, 44, 643, 3.64191, 2, 7.80904, 0.401593, 1.34132, 0.000286259, -0.033888, 0.0145904
2023, 06, 06, 12, 31, 44, 668, 3.66188, 2, 7.81282, 0.399447, 1.3416, 3.16058e-05, -0.0335843, 0.014556
2023, 06, 06, 12, 31, 44, 682, 3.68184, 2, 7.81282, 0.399447, 1.34056, 0.000388844, -0.0335829, 0.014625
2023, 06, 06, 12, 31, 44, 704, 3.7019, 2, 7.81961, 0.400432, 1.34224, 0.000612283, -0.0342602, 0.0145769
2023, 06, 06, 12, 31, 44, 723, 3.7221, 2, 7.81961, 0.400432, 1.34248, 0.00063887, -0.0340907, 0.0146945
2023, 06, 06, 12, 31, 44, 742, 3.74185, 2, 7.83028, 0.403957, 1.34077, 0.000554615, -0.0341391, 0.0145723
2023, 06, 06, 12, 31, 44, 762, 3.76184, 2, 7.83028, 0.403957, 1.34095, 0.000786284, -0.03439, 0.0146516
2023, 06, 06, 12, 31, 44, 782, 3.78183, 2, 7.83028, 0.403957, 1.3399, 0.0011209, -0.0343521, 0.0148521
2023, 06, 06, 12, 31, 44, 802, 3.80184, 2, 7.84196, 0.407279, 1.34157, 0.00116793, -0.0344877, 0.0144517
2023, 06, 06, 12, 31, 44, 822, 3.82197, 2, 7.84196, 0.407279, 1.34172, 0.000952654, -0.0345136, 0.0146175
2023, 06, 06, 12, 31, 44, 846, 3.84187, 2, 7.86777, 0.417212, 1.34214, 0.000798911, -0.034711, 0.0148825
2023, 06, 06, 12, 31, 44, 864, 3.86239, 2, 7.86777, 0.417212, 1.34228, 0.00130646, -0.0345648, 0.014513
2023, 06, 06, 12, 31, 44, 886, 3.88194, 2, 7.8797, 0.420468, 1.341, 0.00117987, -0.034609, 0.0146197
2023, 06, 06, 12, 31, 44, 904, 3.90184, 2, 7.88351, 0.421594, 1.34258, 0.00083013, -0.0348595, 0.0146439
